task,lambda_penalty,T,seed,accuracy,entropy_first,entropy_last,entropy_delta,entropy_mean,q_delta_mean,slot_shift_mean,attention_coverage,chain_step_accuracy,chain_full_accuracy,alpha,grad_norm,runtime_sec
hard_synthetic_multihop,0.25,1,0,0.09708738327026367,2.307981014251709,2.307981014251709,0.0,2.307981014251709,0.49414554238319397,0.0,1.0,0.3203883469104767,0.32038834951456313,0.09857431799173355,0.9225803718030391,5.758121728897095
hard_synthetic_multihop,0.25,1,1,0.08737864345312119,2.3062007427215576,2.3062007427215576,0.0,2.3062007427215576,0.5115543603897095,0.0,1.0,0.3300970792770386,0.3300970873786408,0.0980333685874939,1.178659803224431,0.15873003005981445
hard_synthetic_multihop,0.25,1,2,0.06796116381883621,2.3054490089416504,2.3054490089416504,0.0,2.3054490089416504,0.5348128080368042,0.0,1.0,0.43689319491386414,0.4368932038834951,0.10189565271139145,1.410781125976853,0.18170905113220215
hard_synthetic_multihop,0.25,1,3,0.03883495181798935,2.300506830215454,2.300506830215454,0.0,2.300506830215454,0.5692981481552124,0.0,1.0,0.41747573018074036,0.4174757281553398,0.10175487399101257,1.1292598106385219,0.23992109298706055
hard_synthetic_multihop,0.25,1,4,0.019417475908994675,2.298192262649536,2.298192262649536,0.0,2.298192262649536,0.5379500389099121,0.0,1.0,0.40776699781417847,0.4077669902912621,0.1002904623746872,1.5508962831155508,0.20295453071594238
hard_synthetic_multihop,0.25,3,0,0.09708738327026367,2.3080153465270996,2.3046398162841797,-0.003375530242919922,2.306569814682007,0.5078940788904825,0.024329145438969135,1.213592290878296,0.2663627862930298,0.1262135922330097,0.1018703505396843,0.9217454697494294,0.4923698902130127
hard_synthetic_multihop,0.25,3,1,0.11650485545396805,2.3064098358154297,2.3025033473968506,-0.0039064884185791016,2.3048013051350913,0.510624368985494,0.026759336702525616,1.213592290878296,0.2836911976337433,0.10679611650485436,0.09826390445232391,1.2578575207563445,0.3072645664215088
hard_synthetic_multihop,0.25,3,2,0.058252427726984024,2.3055787086486816,2.3064184188842773,0.0008397102355957031,2.306239128112793,0.5331712365150452,0.02343862783163786,1.2233009338378906,0.3164661079645157,0.13592233009708737,0.10199197381734848,1.2627876074887283,0.36560916900634766
hard_synthetic_multihop,0.25,3,3,0.029126213863492012,2.299952268600464,2.311037302017212,0.011085033416748047,2.3061679204305015,0.5475340088208517,0.03820277936756611,1.3009709119796753,0.3602035542329152,0.21359223300970873,0.10036563128232956,1.3140752105048035,0.3620259761810303
hard_synthetic_multihop,0.25,3,4,0.009708737954497337,2.2980244159698486,2.300062656402588,0.002038240432739258,2.2993176778157554,0.5242695212364197,0.023156365379691124,1.1553398370742798,0.3192899028460185,0.17475728155339806,0.09850921481847763,1.2915561992052988,0.4190218448638916
hard_synthetic_multihop,0.25,5,0,0.048543691635131836,2.30784273147583,2.295393228530884,-0.012449502944946289,2.302650880813599,0.5062649250030518,0.02332550846040249,1.3786407709121704,0.1976447358727455,0.13592233009708737,0.10098832100629807,1.0062169853402503,0.546431303024292
hard_synthetic_multihop,0.25,5,1,0.06796116381883621,2.3065810203552246,2.2878036499023438,-0.01877737045288086,2.2992928981781007,0.5142027139663696,0.028830080293118954,1.4660193920135498,0.23624292016029358,0.10679611650485436,0.09831352531909943,1.266968706009511,0.652672529220581
hard_synthetic_multihop,0.25,5,2,0.029126213863492012,2.3062992095947266,2.3059804439544678,-0.00031876564025878906,2.307513380050659,0.533914041519165,0.02398563362658024,1.5048543214797974,0.25115804374217987,0.1262135922330097,0.10200121998786926,1.2776629161940465,0.6212034225463867
hard_synthetic_multihop,0.25,5,3,0.08737864345312119,2.2985098361968994,2.306212902069092,0.007703065872192383,2.3051446437835694,0.5429538369178772,0.031753821298480034,1.6116504669189453,0.2655397400259972,0.1941747572815534,0.09807609766721725,1.5904509773055082,0.5828545093536377
hard_synthetic_multihop,0.25,5,4,0.048543691635131836,2.2970006465911865,2.295795440673828,-0.0012052059173583984,2.297783899307251,0.5171532988548279,0.023320949636399746,1.3009709119796753,0.29470716416835785,0.17475728155339806,0.09802202880382538,1.6411753306070418,0.6339075565338135
hard_synthetic_multihop,0.5,1,0,0.09708738327026367,2.307981014251709,2.307981014251709,0.0,2.307981014251709,0.49414554238319397,0.0,1.0,0.3203883469104767,0.32038834951456313,0.09857431799173355,0.9225803718030391,0.21859431266784668
hard_synthetic_multihop,0.5,1,1,0.08737864345312119,2.3062007427215576,2.3062007427215576,0.0,2.3062007427215576,0.5115543603897095,0.0,1.0,0.3300970792770386,0.3300970873786408,0.0980333685874939,1.178659803224431,0.19277715682983398
hard_synthetic_multihop,0.5,1,2,0.06796116381883621,2.3054490089416504,2.3054490089416504,0.0,2.3054490089416504,0.5348128080368042,0.0,1.0,0.43689319491386414,0.4368932038834951,0.10189565271139145,1.410781125976853,0.19239425659179688
hard_synthetic_multihop,0.5,1,3,0.03883495181798935,2.300506830215454,2.300506830215454,0.0,2.300506830215454,0.5692981481552124,0.0,1.0,0.41747573018074036,0.4174757281553398,0.10175487399101257,1.1292598106385219,0.2058093547821045
hard_synthetic_multihop,0.5,1,4,0.019417475908994675,2.298192262649536,2.298192262649536,0.0,2.298192262649536,0.5379500389099121,0.0,1.0,0.40776699781417847,0.4077669902912621,0.1002904623746872,1.5508962831155508,0.17366838455200195
hard_synthetic_multihop,0.5,3,0,0.09708738327026367,2.30800724029541,2.307433843612671,-0.0005733966827392578,2.3079665501912436,0.5079597234725952,0.024147143587470055,1.233009696006775,0.26234671970208484,0.1262135922330097,0.10187173634767532,0.920278229069983,0.7978529930114746
hard_synthetic_multihop,0.5,3,1,0.11650485545396805,2.306401252746582,2.305504322052002,-0.0008969306945800781,2.3063011169433594,0.5106145938237509,0.026413354091346264,1.233009696006775,0.2796751360098521,0.10679611650485436,0.09826374799013138,1.257218075668245,0.33089423179626465
hard_synthetic_multihop,0.5,3,2,0.058252427726984024,2.305612325668335,2.309237003326416,0.0036246776580810547,2.3077243169148765,0.5332677563031515,0.024860219098627567,1.2621358633041382,0.31125777463118237,0.13592233009708737,0.10199166089296341,1.2632484203418053,0.6232120990753174
hard_synthetic_multihop,0.5,3,3,0.029126213863492012,2.2999982833862305,2.313366413116455,0.01336812973022461,2.3075682322184243,0.5476449926694235,0.0425915215164423,1.3300970792770386,0.3706202208995819,0.21359223300970873,0.10036276280879974,1.3119879375740386,0.6344196796417236
hard_synthetic_multihop,0.5,3,4,0.009708737954497337,2.298027992248535,2.3041486740112305,0.0061206817626953125,2.301460345586141,0.5244153936704,0.02625146321952343,1.165048599243164,0.3140815695126851,0.17475728155339806,0.0985124334692955,1.2917446265547847,0.45963430404663086
hard_synthetic_multihop,0.5,5,0,0.058252427726984024,2.307851552963257,2.3018906116485596,-0.005960941314697266,2.3057504653930665,0.5064523220062256,0.021949293091893196,1.3883495330810547,0.1976447358727455,0.13592233009708737,0.10100167244672775,1.0048543307034488,0.5729939937591553
hard_synthetic_multihop,0.5,5,1,0.06796116381883621,2.306567430496216,2.295349359512329,-0.011218070983886719,2.3027153491973875,0.5141843438148499,0.026943352539092302,1.5048543214797974,0.2331179201602936,0.10679611650485436,0.09831412136554718,1.2675321529992014,0.5143120288848877
hard_synthetic_multihop,0.5,5,2,0.029126213863492012,2.3063223361968994,2.3099024295806885,0.0035800933837890625,2.3096871852874754,0.5338554978370667,0.024901072029024363,1.5436893701553345,0.26636530458927155,0.1262135922330097,0.10200124233961105,1.2774843959493272,0.6335949897766113
hard_synthetic_multihop,0.5,5,3,0.08737864345312119,2.2985148429870605,2.310124158859253,0.011609315872192383,2.307616138458252,0.542818808555603,0.03374765580520034,1.6407767534255981,0.25094918310642245,0.18446601941747573,0.09807948023080826,1.5939526047716477,0.6218366622924805
hard_synthetic_multihop,0.5,5,4,0.03883495181798935,2.2970197200775146,2.3031680583953857,0.006148338317871094,2.3017600536346436,0.5173021197319031,0.024677249137312174,1.3398058414459229,0.28964041769504545,0.17475728155339806,0.09802226722240448,1.6425765524937483,0.6208453178405762
hard_synthetic_multihop,1.0,1,0,0.09708738327026367,2.307981014251709,2.307981014251709,0.0,2.307981014251709,0.49414554238319397,0.0,1.0,0.3203883469104767,0.32038834951456313,0.09857431799173355,0.9225803718030391,0.22166967391967773
